ticket_id,customer_id,subject,priority,status,sla_status,created_at,resolved_at,satisfaction_score
TCK-4212,CUST-1100,Incorrect SKU delivered in shipment,High,Resolved,Within SLA,2026-08-15 13:00:00,2026-08-16 00:00:00,3
TCK-4213,CUST-1032,Incorrect SKU delivered in shipment,Low,Resolved,Within SLA,2026-08-26 13:00:00,2026-08-29 06:00:00,4
TCK-4214,CUST-1019,Urgent quote for high-volume order,High,Resolved,Within SLA,2026-09-06 13:00:00,2026-09-09 13:00:00,5
TCK-4215,CUST-1106,Incorrect SKU delivered in shipment,Low,Waiting Customer,At Risk,2026-08-24 08:00:00,,5
TCK-4216,CUST-1114,Incorrect SKU delivered in shipment,High,Resolved,Within SLA,2026-08-21 14:00:00,2026-08-24 00:00:00,5
TCK-4217,CUST-1105,Delayed delivery status inquiry,High,In Progress,Breached,2026-08-22 11:00:00,,5
TCK-4218,CUST-1038,Delayed delivery status inquiry,Low,Resolved,Within SLA,2026-09-01 09:00:00,2026-09-03 12:00:00,3
TCK-4219,CUST-1100,Damaged package on delivery,Critical,Resolved,Within SLA,2026-08-30 16:00:00,2026-08-31 16:00:00,4
TCK-4220,CUST-1057,Discrepancy on freight surcharge,Low,Waiting Customer,At Risk,2026-08-23 15:00:00,,5
TCK-4221,CUST-1026,Order cancellation inquiry,High,Resolved,Within SLA,2026-08-16 17:00:00,2026-08-17 13:00:00,5
TCK-4222,CUST-1003,Invoice payment terms extension request,Low,Resolved,Within SLA,2026-08-26 16:00:00,2026-08-29 09:00:00,5
TCK-4223,CUST-1019,Discrepancy on freight surcharge,Critical,Resolved,Within SLA,2026-09-10 08:00:00,2026-09-12 19:00:00,5
TCK-4224,CUST-1042,Request for Certificate of Conformance,Medium,Resolved,Within SLA,2026-08-26 17:00:00,2026-08-27 01:00:00,5
TCK-4225,CUST-1037,Discrepancy on freight surcharge,Low,Waiting Customer,At Risk,2026-09-07 08:00:00,,5
TCK-4226,CUST-1092,Damaged package on delivery,Critical,Resolved,Within SLA,2026-08-10 09:00:00,2026-08-11 06:00:00,5
TCK-4227,CUST-1014,Damaged package on delivery,Medium,Resolved,Within SLA,2026-08-11 13:00:00,2026-08-13 14:00:00,5
TCK-4228,CUST-1011,Request for Certificate of Conformance,High,Resolved,Within SLA,2026-08-10 15:00:00,2026-08-12 22:00:00,4
TCK-4229,CUST-1008,Request for Certificate of Conformance,Critical,Resolved,Within SLA,2026-08-15 16:00:00,2026-08-16 07:00:00,5
TCK-4230,CUST-1058,Damaged package on delivery,Low,Waiting Customer,At Risk,2026-08-22 11:00:00,,5
TCK-4231,CUST-1008,Delayed delivery status inquiry,Low,Resolved,Within SLA,2026-08-20 15:00:00,2026-08-21 00:00:00,4
TCK-4232,CUST-1029,Incorrect SKU delivered in shipment,Medium,Resolved,Within SLA,2026-08-14 16:00:00,2026-08-16 12:00:00,5
TCK-4233,CUST-1050,Request for Certificate of Conformance,Low,Resolved,Within SLA,2026-09-07 12:00:00,2026-09-10 07:00:00,4
TCK-4234,CUST-1086,Request for Certificate of Conformance,Low,Resolved,Within SLA,2026-08-08 11:00:00,2026-08-08 19:00:00,5
TCK-4235,CUST-1030,Order cancellation inquiry,Low,Waiting Customer,At Risk,2026-08-28 09:00:00,,4
TCK-4236,CUST-1113,Discrepancy on freight surcharge,Medium,Resolved,Within SLA,2026-08-31 11:00:00,2026-09-01 10:00:00,4
TCK-4237,CUST-1001,Urgent quote for high-volume order,High,Resolved,Within SLA,2026-09-10 13:00:00,2026-09-13 10:00:00,3
TCK-4238,CUST-1021,Incorrect SKU delivered in shipment,High,In Progress,Breached,2026-08-27 11:00:00,,5
TCK-4239,CUST-1115,Urgent quote for high-volume order,Critical,Resolved,Within SLA,2026-08-13 12:00:00,2026-08-16 01:00:00,4
TCK-4240,CUST-1058,Request for Certificate of Conformance,Medium,Waiting Customer,At Risk,2026-08-17 09:00:00,,4
TCK-4241,CUST-1050,Invoice payment terms extension request,Medium,Resolved,Within SLA,2026-08-18 17:00:00,2026-08-20 11:00:00,5
TCK-4242,CUST-1087,Incorrect SKU delivered in shipment,High,Resolved,Within SLA,2026-08-29 15:00:00,2026-08-30 01:00:00,5
TCK-4243,CUST-1081,Incorrect SKU delivered in shipment,High,Resolved,Within SLA,2026-08-19 16:00:00,2026-08-19 23:00:00,5
TCK-4244,CUST-1002,Incorrect SKU delivered in shipment,Medium,Resolved,Within SLA,2026-08-27 11:00:00,2026-08-30 06:00:00,5
TCK-4245,CUST-1050,Discrepancy on freight surcharge,Critical,In Progress,Breached,2026-08-31 17:00:00,,5
TCK-4246,CUST-1118,Order cancellation inquiry,Critical,Resolved,Within SLA,2026-09-10 17:00:00,2026-09-12 09:00:00,5
TCK-4247,CUST-1110,Incorrect SKU delivered in shipment,Low,Resolved,Within SLA,2026-08-12 08:00:00,2026-08-12 15:00:00,4
TCK-4248,CUST-1007,Delayed delivery status inquiry,High,Resolved,Within SLA,2026-08-06 12:00:00,2026-08-09 00:00:00,3
TCK-4249,CUST-1094,Damaged package on delivery,Low,Resolved,Within SLA,2026-08-09 13:00:00,2026-08-10 20:00:00,5
TCK-4250,CUST-1025,Request for Certificate of Conformance,High,Waiting Customer,At Risk,2026-08-10 12:00:00,,3
TCK-4251,CUST-1084,Delayed delivery status inquiry,High,Resolved,Within SLA,2026-08-08 09:00:00,2026-08-10 03:00:00,5
TCK-4252,CUST-1034,Order cancellation inquiry,Medium,Resolved,Within SLA,2026-08-13 08:00:00,2026-08-16 00:00:00,5
TCK-4253,CUST-1002,Invoice payment terms extension request,Low,Resolved,Within SLA,2026-08-21 15:00:00,2026-08-23 05:00:00,5
TCK-4254,CUST-1003,Order cancellation inquiry,Low,Resolved,Within SLA,2026-08-15 11:00:00,2026-08-15 23:00:00,3
TCK-4255,CUST-1087,Request for Certificate of Conformance,Low,Waiting Customer,At Risk,2026-08-08 15:00:00,,3
TCK-4256,CUST-1107,Order cancellation inquiry,Critical,Resolved,Within SLA,2026-08-17 08:00:00,2026-08-17 17:00:00,5
TCK-4257,CUST-1009,Urgent quote for high-volume order,High,Resolved,Within SLA,2026-09-05 11:00:00,2026-09-07 01:00:00,4
TCK-4258,CUST-1086,Urgent quote for high-volume order,Medium,Resolved,Within SLA,2026-08-21 15:00:00,2026-08-21 19:00:00,5
TCK-4259,CUST-1006,Request for Certificate of Conformance,Critical,In Progress,Breached,2026-08-20 08:00:00,,5
TCK-4260,CUST-1047,Invoice payment terms extension request,High,Waiting Customer,At Risk,2026-09-04 15:00:00,,4
TCK-4261,CUST-1021,Discrepancy on freight surcharge,High,Resolved,Within SLA,2026-09-10 16:00:00,2026-09-11 14:00:00,5
TCK-4262,CUST-1095,Discrepancy on freight surcharge,Critical,Resolved,Within SLA,2026-08-17 17:00:00,2026-08-20 00:00:00,5
TCK-4263,CUST-1060,Discrepancy on freight surcharge,High,Resolved,Within SLA,2026-08-15 15:00:00,2026-08-17 23:00:00,5
TCK-4264,CUST-1056,Invoice payment terms extension request,High,Resolved,Within SLA,2026-08-14 13:00:00,2026-08-16 14:00:00,5
TCK-4265,CUST-1060,Order cancellation inquiry,Medium,Waiting Customer,At Risk,2026-08-08 13:00:00,,4
TCK-4266,CUST-1118,Damaged package on delivery,High,In Progress,Breached,2026-09-09 10:00:00,,4
TCK-4267,CUST-1018,Incorrect SKU delivered in shipment,Critical,Resolved,Within SLA,2026-08-11 14:00:00,2026-08-12 08:00:00,4
TCK-4268,CUST-1070,Delayed delivery status inquiry,Low,Resolved,Within SLA,2026-08-06 12:00:00,2026-08-07 13:00:00,5
TCK-4269,CUST-1030,Discrepancy on freight surcharge,Critical,Resolved,Within SLA,2026-08-13 13:00:00,2026-08-15 16:00:00,4
TCK-4270,CUST-1120,Request for Certificate of Conformance,Critical,Waiting Customer,At Risk,2026-08-20 17:00:00,,5
TCK-4271,CUST-1096,Request for Certificate of Conformance,Low,Resolved,Within SLA,2026-08-20 15:00:00,2026-08-21 14:00:00,5
TCK-4272,CUST-1115,Incorrect SKU delivered in shipment,Low,Resolved,Within SLA,2026-09-07 09:00:00,2026-09-10 04:00:00,5
TCK-4273,CUST-1118,Invoice payment terms extension request,High,In Progress,Breached,2026-08-21 14:00:00,,5
TCK-4274,CUST-1106,Incorrect SKU delivered in shipment,Low,Resolved,Within SLA,2026-08-18 08:00:00,2026-08-18 14:00:00,4
TCK-4275,CUST-1038,Invoice payment terms extension request,Medium,Waiting Customer,At Risk,2026-08-17 09:00:00,,4
TCK-4276,CUST-1033,Order cancellation inquiry,Low,Resolved,Within SLA,2026-09-02 13:00:00,2026-09-04 20:00:00,4
TCK-4277,CUST-1090,Urgent quote for high-volume order,High,Resolved,Within SLA,2026-08-30 13:00:00,2026-08-31 19:00:00,5
TCK-4278,CUST-1055,Order cancellation inquiry,Low,Resolved,Within SLA,2026-09-06 08:00:00,2026-09-09 03:00:00,5
TCK-4279,CUST-1045,Delayed delivery status inquiry,High,Resolved,Within SLA,2026-09-05 14:00:00,2026-09-08 14:00:00,4
TCK-4280,CUST-1055,Discrepancy on freight surcharge,Critical,In Progress,Breached,2026-08-07 14:00:00,,4
TCK-4281,CUST-1063,Invoice payment terms extension request,Critical,Resolved,Within SLA,2026-08-22 16:00:00,2026-08-23 07:00:00,4
TCK-4282,CUST-1032,Invoice payment terms extension request,Critical,Resolved,Within SLA,2026-08-30 13:00:00,2026-08-31 23:00:00,4
TCK-4283,CUST-1061,Delayed delivery status inquiry,High,Resolved,Within SLA,2026-08-25 16:00:00,2026-08-28 05:00:00,5
TCK-4284,CUST-1079,Request for Certificate of Conformance,Low,Resolved,Within SLA,2026-08-06 10:00:00,2026-08-06 17:00:00,4
TCK-4285,CUST-1057,Invoice payment terms extension request,Medium,Waiting Customer,At Risk,2026-09-04 12:00:00,,5
TCK-4286,CUST-1073,Request for Certificate of Conformance,Low,Resolved,Within SLA,2026-08-22 17:00:00,2026-08-23 12:00:00,5
TCK-4287,CUST-1067,Order cancellation inquiry,Medium,Resolved,Within SLA,2026-09-03 12:00:00,2026-09-04 12:00:00,4
TCK-4288,CUST-1038,Discrepancy on freight surcharge,Critical,Resolved,Within SLA,2026-08-13 10:00:00,2026-08-13 23:00:00,5
TCK-4289,CUST-1062,Order cancellation inquiry,Medium,Resolved,Within SLA,2026-08-06 14:00:00,2026-08-07 16:00:00,3
TCK-4290,CUST-1006,Urgent quote for high-volume order,Medium,Waiting Customer,At Risk,2026-08-20 13:00:00,,5
TCK-4291,CUST-1075,Order cancellation inquiry,Medium,Resolved,Within SLA,2026-09-03 09:00:00,2026-09-04 01:00:00,5
TCK-4292,CUST-1018,Damaged package on delivery,Low,Resolved,Within SLA,2026-09-03 15:00:00,2026-09-05 17:00:00,5
TCK-4293,CUST-1056,Delayed delivery status inquiry,High,Resolved,Within SLA,2026-09-09 09:00:00,2026-09-11 18:00:00,3
TCK-4294,CUST-1005,Urgent quote for high-volume order,Critical,In Progress,Breached,2026-09-10 14:00:00,,4
TCK-4295,CUST-1009,Invoice payment terms extension request,High,Waiting Customer,At Risk,2026-08-28 15:00:00,,3
TCK-4296,CUST-1065,Incorrect SKU delivered in shipment,Medium,Resolved,Within SLA,2026-08-13 08:00:00,2026-08-14 08:00:00,4
TCK-4297,CUST-1074,Damaged package on delivery,Medium,Resolved,Within SLA,2026-09-03 16:00:00,2026-09-05 19:00:00,4
TCK-4298,CUST-1034,Order cancellation inquiry,Low,Resolved,Within SLA,2026-08-17 17:00:00,2026-08-20 01:00:00,4
TCK-4299,CUST-1072,Delayed delivery status inquiry,Medium,Resolved,Within SLA,2026-08-18 10:00:00,2026-08-20 04:00:00,5
TCK-4300,CUST-1096,Request for Certificate of Conformance,Low,Waiting Customer,At Risk,2026-08-29 08:00:00,,4
TCK-4301,CUST-1101,Delayed delivery status inquiry,Low,Resolved,Within SLA,2026-09-08 12:00:00,2026-09-11 11:00:00,4
TCK-4302,CUST-1039,Damaged package on delivery,High,Resolved,Within SLA,2026-08-21 15:00:00,2026-08-22 22:00:00,5
TCK-4303,CUST-1085,Order cancellation inquiry,Critical,Resolved,Within SLA,2026-09-05 11:00:00,2026-09-06 03:00:00,5
TCK-4304,CUST-1050,Invoice payment terms extension request,Medium,Resolved,Within SLA,2026-08-14 16:00:00,2026-08-15 14:00:00,4
TCK-4305,CUST-1062,Invoice payment terms extension request,Medium,Waiting Customer,At Risk,2026-08-21 14:00:00,,5
TCK-4306,CUST-1047,Incorrect SKU delivered in shipment,High,Resolved,Within SLA,2026-09-01 08:00:00,2026-09-03 19:00:00,4
TCK-4307,CUST-1112,Discrepancy on freight surcharge,Critical,Resolved,Within SLA,2026-08-07 11:00:00,2026-08-09 14:00:00,3
TCK-4308,CUST-1058,Incorrect SKU delivered in shipment,Medium,Resolved,Within SLA,2026-09-05 17:00:00,2026-09-08 14:00:00,3
TCK-4309,CUST-1083,Damaged package on delivery,Medium,Resolved,Within SLA,2026-09-08 12:00:00,2026-09-11 07:00:00,4
TCK-4310,CUST-1056,Delayed delivery status inquiry,Critical,Waiting Customer,At Risk,2026-08-10 16:00:00,,4
TCK-4311,CUST-1091,Damaged package on delivery,Low,Resolved,Within SLA,2026-08-29 12:00:00,2026-08-31 18:00:00,5
TCK-4312,CUST-1060,Discrepancy on freight surcharge,High,Resolved,Within SLA,2026-09-09 17:00:00,2026-09-11 14:00:00,5
TCK-4313,CUST-1110,Order cancellation inquiry,Critical,Resolved,Within SLA,2026-08-30 17:00:00,2026-08-31 14:00:00,3
TCK-4314,CUST-1044,Invoice payment terms extension request,Critical,Resolved,Within SLA,2026-08-27 16:00:00,2026-08-30 14:00:00,4
TCK-4315,CUST-1081,Invoice payment terms extension request,High,In Progress,Breached,2026-08-23 12:00:00,,5
TCK-4316,CUST-1077,Incorrect SKU delivered in shipment,High,Resolved,Within SLA,2026-08-26 11:00:00,2026-08-27 15:00:00,5
TCK-4317,CUST-1040,Incorrect SKU delivered in shipment,High,Resolved,Within SLA,2026-09-08 14:00:00,2026-09-10 05:00:00,5
TCK-4318,CUST-1077,Request for Certificate of Conformance,Medium,Resolved,Within SLA,2026-08-14 12:00:00,2026-08-15 16:00:00,5
TCK-4319,CUST-1088,Discrepancy on freight surcharge,High,Resolved,Within SLA,2026-08-19 15:00:00,2026-08-22 13:00:00,5
TCK-4320,CUST-1016,Urgent quote for high-volume order,Medium,Waiting Customer,At Risk,2026-08-19 17:00:00,,5
